Fecha;Territorio;Medida;Valor;
14/04/2020;Spain;Confirmados;177633;
14/04/2020;Spain;Hospitalizados;76121;
14/04/2020;Spain;Total UCI;7871;
14/04/2020;Spain;Fallecimientos;18579;
14/04/2020;Spain;Curados;70850;
14/04/2020;Spain;Nuevos casos;4978;
14/04/2020;Andalucia;Confirmados;10595;
14/04/2020;Andalucia;Hospitalizados;5147;
14/04/2020;Andalucia;Total UCI;665;
14/04/2020;Andalucia;Fallecimientos;865;
14/04/2020;Andalucia;Curados;2224;
14/04/2020;Andalucia;Nuevos casos;289;
14/04/2020;Almeria;Confirmados;416;
14/04/2020;Almeria;Hospitalizados;179;
14/04/2020;Almeria;Total UCI;34;
14/04/2020;Almeria;Fallecimientos;38;
14/04/2020;Almeria;Curados;100;
14/04/2020;Almeria;Nuevos casos;2;
14/04/2020;Cadiz;Confirmados;1044;
14/04/2020;Cadiz;Hospitalizados;455;
14/04/2020;Cadiz;Total UCI;71;
14/04/2020;Cadiz;Fallecimientos;62;
14/04/2020;Cadiz;Curados;235;
14/04/2020;Cadiz;Nuevos casos;43;
14/04/2020;Cordoba;Confirmados;1211;
14/04/2020;Cordoba;Hospitalizados;468;
14/04/2020;Cordoba;Total UCI;61;
14/04/2020;Cordoba;Fallecimientos;59;
14/04/2020;Cordoba;Curados;207;
14/04/2020;Cordoba;Nuevos casos;21;
14/04/2020;Granada;Confirmados;1911;
14/04/2020;Granada;Hospitalizados;994;
14/04/2020;Granada;Total UCI;115;
14/04/2020;Granada;Fallecimientos;181;
14/04/2020;Granada;Curados;409;
14/04/2020;Granada;Nuevos casos;47;
14/04/2020;Huelva;Confirmados;344;
14/04/2020;Huelva;Hospitalizados;185;
14/04/2020;Huelva;Total UCI;30;
14/04/2020;Huelva;Fallecimientos;27;
14/04/2020;Huelva;Curados;62;
14/04/2020;Huelva;Nuevos casos;7;
14/04/2020;Jaen;Confirmados;1189;
14/04/2020;Jaen;Hospitalizados;600;
14/04/2020;Jaen;Total UCI;62;
14/04/2020;Jaen;Fallecimientos;115;
14/04/2020;Jaen;Curados;220;
14/04/2020;Jaen;Nuevos casos;12;
14/04/2020;Malaga;Confirmados;2321;
14/04/2020;Malaga;Hospitalizados;1284;
14/04/2020;Malaga;Total UCI;156;
14/04/2020;Malaga;Fallecimientos;201;
14/04/2020;Malaga;Curados;664;
14/04/2020;Malaga;Nuevos casos;81;
14/04/2020;Sevilla;Confirmados;2159;
14/04/2020;Sevilla;Hospitalizados;982;
14/04/2020;Sevilla;Total UCI;136;
14/04/2020;Sevilla;Fallecimientos;182;
14/04/2020;Sevilla;Curados;327;
14/04/2020;Sevilla;Nuevos casos;76;
13/04/2020;Spain;Confirmados;172655;
13/04/2020;Spain;Hospitalizados;75752;
13/04/2020;Spain;Total UCI;7851;
13/04/2020;Spain;Fallecimientos;18056;
13/04/2020;Spain;Curados;67504;
13/04/2020;Spain;Nuevos casos;3159;
13/04/2020;Andalucia;Confirmados;10306;
13/04/2020;Andalucia;Hospitalizados;5054;
13/04/2020;Andalucia;Total UCI;631;
13/04/2020;Andalucia;Fallecimientos;836;
13/04/2020;Andalucia;Curados;2032;
13/04/2020;Andalucia;Nuevos casos;119;
13/04/2020;Almeria;Confirmados;414;
13/04/2020;Almeria;Hospitalizados;176;
13/04/2020;Almeria;Total UCI;34;
13/04/2020;Almeria;Fallecimientos;38;
13/04/2020;Almeria;Curados;96;
13/04/2020;Almeria;Nuevos casos;1;
13/04/2020;Cadiz;Confirmados;1001;
13/04/2020;Cadiz;Hospitalizados;452;
13/04/2020;Cadiz;Total UCI;70;
13/04/2020;Cadiz;Fallecimientos;60;
13/04/2020;Cadiz;Curados;203;
13/04/2020;Cadiz;Nuevos casos;11;
13/04/2020;Cordoba;Confirmados;1190;
13/04/2020;Cordoba;Hospitalizados;462;
13/04/2020;Cordoba;Total UCI;57;
13/04/2020;Cordoba;Fallecimientos;58;
13/04/2020;Cordoba;Curados;197;
13/04/2020;Cordoba;Nuevos casos;21;
